City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,broken hill,-31.95,141.4333,297.76,72,100,4.8,AU,1707094697
1,waitangi,-43.9535,-176.5597,289.62,79,100,5.74,NZ,1707094251
2,yellowknife,62.456,-114.3525,247.44,76,20,3.09,CA,1707094516
3,rundu,-17.9333,19.7667,292.31,95,78,2.72,NA,1707094638
4,blackmans bay,-43.0167,147.3167,294.22,62,2,0.89,AU,1707094520
5,isafjordur,66.0755,-23.124,268.9,86,100,5.92,IS,1707094525
6,holmsund,63.706,20.3641,263.12,92,75,1.54,SE,1707094942
7,richards bay,-28.783,32.0377,296.01,93,100,2.64,ZA,1707094594
8,nemuro,43.3236,145.575,266.64,68,65,5.4,JP,1707094646
9,new norfolk,-42.7826,147.0587,294.87,43,2,4.76,AU,1707094944
10,ellensburg,46.9965,-120.5479,279.58,80,91,1.34,US,1707094945
11,tshabong,-26.05,22.45,298.69,43,18,2.35,BW,1707094946
12,whitehorse,60.7161,-135.0538,249.58,64,75,1.54,CA,1707094534
13,sinabang,2.4803,96.3801,300.2,80,100,0.86,ID,1707094550
14,ola,59.5833,151.2833,256.56,74,99,4.47,RU,1707094756
15,ilulissat,69.2167,-51.1,252.16,49,2,3.09,GL,1707094434
16,edinburgh of the seven seas,-37.0676,-12.3116,288.91,73,60,5.82,SH,1707094426
17,weno,7.4515,151.8468,302.12,84,100,6.17,FM,1707094631
18,kyadabek,40.5656,45.8161,271.17,75,36,3.75,AZ,1707094951
19,iqaluit,63.7506,-68.5145,251.0,77,100,2.06,CA,1707094517
20,rosice,49.1823,16.3879,283.69,74,100,11.32,CZ,1707094952
21,adamstown,-25.066,-130.1015,298.35,76,100,3.8,PN,1707094427
22,yarmouth,41.7057,-70.2286,276.46,66,0,10.73,US,1707094953
23,atyashevo,54.5644,46.0691,270.73,95,100,5.55,RU,1707094954
24,namsos,64.4662,11.4957,272.18,93,75,2.57,NO,1707094955
25,shantobe,52.4581,68.1839,268.52,93,100,7.57,KZ,1707094956
26,albany,42.6001,-73.9662,272.95,70,4,0.89,US,1707094431
27,dunedin,-45.8742,170.5036,300.41,75,100,4.47,NZ,1707094704
28,hadibu,12.65,54.0333,297.65,79,36,4.22,YE,1707094653
29,puerto natales,-51.7236,-72.4875,288.46,72,94,2.62,CL,1707094498
30,zemio,5.0314,25.1361,294.89,31,49,1.85,CF,1707094598
31,grytviken,-54.2811,-36.5092,275.54,74,5,5.15,GS,1707094517
32,enewetak,11.3474,162.3373,299.61,72,94,9.27,MH,1707094528
33,bethel,41.3712,-73.414,276.29,58,0,1.54,US,1707094426
34,tanggu,39.0211,117.6469,272.13,51,100,3.9,CN,1707094961
35,paka,4.6374,103.4368,296.11,100,20,0.51,MY,1707094609
36,port pirie,-33.1833,138.0167,298.61,42,9,7.15,AU,1707094962
37,port-aux-francais,-49.35,70.2167,278.43,73,22,9.26,TF,1707094519
38,lebu,-37.6167,-73.65,287.51,85,0,3.58,CL,1707094527
39,twon-brass,4.3151,6.2418,301.07,80,100,4.18,NG,1707094963
40,mitu,1.1983,-70.1733,296.75,97,100,1.0,CO,1707094647
41,abbeville,50.1,1.8333,283.85,93,48,7.74,FR,1707094785
42,bilibino,68.0546,166.4372,243.13,84,9,1.87,RU,1707094520
43,tura,25.5198,90.2201,288.81,38,100,0.81,IN,1707094434
44,wadenswil,47.2268,8.6687,279.6,91,20,0.0,CH,1707094966
45,port elizabeth,-33.918,25.5701,295.55,88,0,2.06,ZA,1707094534
46,hobyo,5.3505,48.5268,298.83,74,63,6.91,SO,1707094968
47,tofol,5.3248,163.0078,303.03,74,75,9.26,FM,1707094968
48,alibag,18.6411,72.8792,298.19,69,0,2.69,IN,1707094969
49,olonkinbyen,70.9221,-8.7187,267.86,80,100,13.29,SJ,1707094525
50,anshun,26.25,105.9333,277.99,92,100,3.75,CN,1707094970
51,badiyah,22.45,58.8,289.69,82,0,1.18,OM,1707094970
52,hawaiian paradise park,19.5933,-154.9731,297.52,67,100,3.6,US,1707094521
53,chonchi,-42.6128,-73.8092,291.71,79,1,1.61,CL,1707094615
54,remire-montjoly,4.9167,-52.2667,300.17,89,75,4.12,GF,1707094610
55,kerikeri,-35.2268,173.9474,296.63,46,18,3.6,NZ,1707094658
56,longyearbyen,78.2186,15.6401,272.06,74,75,6.17,SJ,1707094525
57,ust'-ilimsk,58.0006,102.6619,260.5,92,99,2.68,RU,1707094974
58,igarka,67.4667,86.5833,258.07,95,100,5.48,RU,1707094606
59,djambala,-2.5447,14.7533,294.34,90,100,2.19,CG,1707094761
60,general mosconi,-23.1851,-62.303,303.65,41,68,3.84,AR,1707094975
61,phang nga,8.4509,98.5298,298.17,79,100,1.23,TH,1707094976
62,iskateley,67.6803,53.1512,250.38,93,86,1.79,RU,1707094551
63,gembu,6.7,11.2667,290.58,26,15,1.71,NG,1707094977
64,minas de marcona,-15.2119,-75.1103,292.82,81,53,3.63,PE,1707094539
65,kargasok,59.0556,80.8572,267.57,93,100,4.02,RU,1707094978
66,kharan,28.5833,65.4167,283.75,36,4,3.16,PK,1707094979
67,papatowai,-46.5619,169.4708,296.76,55,72,2.71,NZ,1707094519
68,tiksi,71.6872,128.8694,240.01,100,79,0.75,RU,1707094525
69,ponta delgada,37.7333,-25.6667,291.59,94,75,6.17,PT,1707094650
70,new albany,38.2856,-85.8241,284.71,49,75,4.63,US,1707094981
71,manay,7.215,126.5397,300.85,73,18,3.89,PH,1707094982
72,anadyr,64.75,177.4833,254.43,77,0,4.0,RU,1707094522
73,klyuchi,52.2667,79.1667,264.97,92,100,4.2,RU,1707094618
74,tual,-5.6667,132.75,301.7,78,74,5.14,ID,1707094794
75,belmonte,-15.8631,-38.8828,298.05,89,12,2.02,BR,1707094526
76,turkmenbasy,40.0222,52.9552,282.58,71,0,6.17,TM,1707094746
77,kyelang,32.5833,77.0333,260.68,98,100,0.84,IN,1707094985
78,fort st. john,56.2499,-120.8529,271.09,59,20,2.57,CA,1707094741
79,kodiak,57.79,-152.4072,275.88,75,0,3.09,US,1707094554
80,quibala,-10.7337,14.98,290.67,98,95,0.75,AO,1707094987
81,kolonia,50.9333,6.95,285.27,81,100,9.26,DE,1707094388
82,bredasdorp,-34.5322,20.0403,294.52,88,10,1.34,ZA,1707094521
83,kaspiyskiy,45.3929,47.3707,277.14,81,100,6.08,RU,1707094989
84,bamboo flat,11.7,92.7167,295.2,94,7,0.51,IN,1707094643
